LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,UN
1750975785.000000,244079,35963,2,UN,1,100,98
1750975788.000000,246795,36384,2,UN,1,100,98
1750975790.000000,249317,36780,2,UN,1,100,98
1750975793.000000,251914,37183,2,UN,1,100,98
1750975796.000000,254639,37612,2,UN,1,100,98
1750975798.000000,257298,38031,2,UN,1,100,98
1750975801.000000,259971,38443,2,UN,1,100,98
1750975804.000000,262516,38846,2,UN,1,100,97
1750975806.000000,265017,39243,2,UN,1,100,97
1750975809.000000,267541,39631,2,UN,1,100,97
1750975811.000000,270193,40041,2,UN,1,100,98
1750975814.000000,272860,40460,2,UN,1,100,98
1750975817.000000,275524,40872,2,UN,1,100,98
1750975819.000000,278183,41293,2,UN,1,100,98
1750975822.000000,280738,41689,2,UN,1,100,98
1750975825.000000,283502,42126,2,UN,1,100,98
1750975827.000000,286100,42538,2,UN,1,100,97
1750975830.000000,288738,42940,2,UN,1,100,97
1750975832.000000,291416,43369,2,UN,1,100,97
1750975835.000000,294057,43775,2,UN,1,100,97
1750975838.000000,296612,44171,2,UN,1,100,97
1750975840.000000,299200,44575,2,UN,1,100,97
1750975843.000000,302179,45050,2,UN,1,100,98
1750975846.000000,304699,45436,2,UN,1,100,98
1750975849.000000,307589,45899,2,UN,1,100,98
1750975851.000000,310229,46299,2,UN,1,100,98
1750975854.000000,312798,46697,2,UN,1,100,98
1750975857.000000,315577,47136,2,UN,1,100,98
1750975859.000000,318428,47569,2,UN,1,100,98
1750975862.000000,321111,47998,2,UN,1,100,97
1750975865.000000,323800,48417,2,UN,1,100,97
1750975868.000000,326443,48831,2,UN,1,100,97
1750975870.000000,329416,49301,2,UN,1,100,98
1750975873.000000,332149,49730,2,UN,1,100,98
1750975876.000000,334826,50151,2,UN,1,100,98
1750975878.000000,337375,50549,2,UN,1,100,98
1750975881.000000,340036,50966,2,UN,1,100,98
1750975884.000000,342595,51364,2,UN,1,100,98
1750975886.000000,345361,51800,2,UN,1,100,98
1750975889.000000,347917,52199,2,UN,1,100,98
1750975892.000000,350479,52588,2,UN,1,100,98
